"GeneSymbol","GeneScore"
"ASAP2","-0.595514"
"ASB1","-0.420388"
"ASB3","-0.224729"
"ASF1A","0.26325"
"ASGR1","0.659672"
"ASH2L","0.339565"
"ASNA1","0.292989"
"ASPHD2","0.534603"
"ASTE1","-0.337721"
"ATF5","1.14128"
"ATG12","0.28297"
"ATG16L1","-0.318513"
"ATG2A","-0.285501"
"ATG4A","-0.17255"
"ATG9A","-0.327289"
"ATM","-0.681504"
"ATN1","-0.452279"
"ATP13A2","0.490543"
"ATP1A1","-0.601339"
"ATP2A2","-0.255433"
"ATP2A3","-0.309299"
"ATP5A1","-0.230663"
"ATP5E","-0.20648"
"ATP5F1","-0.34963"
"ATP5G1","-0.359317"
"ATP5J2","-0.279873"
"ATP5L","-0.198978"
"ATP5S","-0.428881"
"ATP6AP1","-0.193619"
"ATP6AP2","-0.666757"
"ATP6V0A1","-0.724566"
"ATP6V0E2","0.366422"
"ATP6V1B2","-0.237385"
"ATP6V1E2","-0.346504"
"ATP8B4","-0.514809"
"ATP9B","-0.33016"
"ATXN1","-0.791108"
"ATXN2","-0.46662"
"AUP1","-0.227923"
"AXL","1.70935"
"AZI2","0.198537"
"B3GNT2","0.191604"
"B3GNT5","0.312175"
"BATF","-0.621108"
"BAX","0.436634"
"BBS1","-0.272025"
"BCAP31","-0.255373"
"BCAS2","-0.281946"
"BCAT1","0.722181"
"BCDIN3D","-0.265475"
"BCL10","0.307129"
"BCL2","0.257558"
"BCL2L1","0.360059"
"BCL2L11","-0.492769"
"BCL2L12","0.223149"
"BCL2L13","0.520555"
"BCL3","-0.400684"
"BCL6","-0.378439"
"BCL7C","0.333159"
"BCLAF1","0.23985"
"BECN1","-0.274405"
"BET1","-0.485915"
"BIRC8","-0.12848"
"BLCAP","0.234682"
"BLNK","0.193652"
"BMS1","0.2582"
"BNIP3","1.53005"
"BOK","0.450802"
"BOLA3","-0.266475"
"BRF2","0.270556"
"BRI3","0.528912"
"BRI3BP","-0.848549"
"BRWD1","0.369562"
"BRWD3","-0.328168"
"BSDC1","0.322973"
"BTBD11","0.489522"
"BTBD3","-0.270887"
"BTG2","-0.484907"
"BTG3","-0.347152"
"BUD31","0.216613"
"C1GALT1","0.23229"
"C1QA","-1.14404"
"C1QB","-1.00221"
"C1QC","-0.933233"
"C1R","-0.369447"
"C1S","-0.852301"
"C2","-0.527052"
"C2CD2","-0.534339"
"C3","-0.352275"
"C5AR1","-0.354587"
"CA11","-1.42883"
"CA2","-0.615051"
"CA5B","0.50338"
"CACNB3","0.310273"
"CACYBP","0.273822"
"CAD","-0.277685"
"CALR","0.322403"
"CALU","-0.258829"
"CAMK2G","0.449811"
"CAMTA2","-0.178505"
"CANT1","0.322205"
"CAPG","-0.571216"
"CAPN2","0.476479"
"CAPN5","0.244754"
"CAPRIN1","0.199854"
"CAPS2","-0.335733"
"CAPZB","-0.58318"
"CARD16","0.440233"
"CASP1","0.612148"
"CASP2","-0.299366"
"CASP4","0.363106"
"CASP8","0.303147"
"CASZ1","0.429235"
"CAT","-0.620671"
"CATSPER1","0.648095"
"CBL","-0.247341"
"CBLL1","0.461741"
"CBR3","-0.43563"
"CBR4","-0.302457"
"CBWD3","-0.275921"
"CBX1","0.300207"
"CCDC112","0.403158"
"CCDC117","-0.362989"
"CCDC12","-0.219298"
"CCDC151","-0.253917"
"CCDC28A","-0.397555"
"CCDC43","0.209031"
"CCDC71","0.395681"
"CCDC86","0.360719"
"CCDC90B","0.24841"
"CCDC93","-0.303194"
"CCL2","0.514693"
"CCL20","-0.412056"
"CCL22","-0.792306"
"CCL24","-0.52488"
"CCL8","0.877261"
"CCNA1","0.525746"
"CCND2","0.537562"
"CCNG1","0.779023"
"CCNK","0.315017"
"CCNYL1","0.265813"
"CCPG1","-0.548719"
"CCR1","0.923925"
"CCR2","0.658328"
"CCR3","0.137934"
"CCT3","0.338267"
"CD14","-0.645045"
"CD163L1","-0.162697"
"CD1D","0.452164"
"CD209","-0.573433"
"CD22","0.223017"
"CD226","0.479615"
"CD2BP2","0.394226"
"CD300A","0.780246"
"CD300C","0.856572"
"CD302","-1.00327"
"CD33","0.658697"
"CD38","0.510617"
"CD44","-0.726078"
"CD46","-0.630666"
"CD48","0.421137"
"CD58","0.224557"
"CD69","0.798131"
"CD72","0.870181"
"CD93","0.887976"
"CDC16","0.3925"
"CDC37","0.166044"
"CDC42BPB","-0.200424"
"CDC42EP4","0.413494"
"CDC42EP5","-0.108593"
"CDC42SE1","-0.418631"
"CDK2","-0.192445"
"CDK4","0.211151"
"CDK5RAP1","0.240508"
"CDKN2C","0.204318"
"CDKN2D","-0.475445"
"CDS1","0.211371"
"CDV3","0.242764"
"CDYL","-0.1777"
"CEACAM3","0.342497"
"CEBPA","-0.405179"
"CEBPD","0.709775"
"CEBPE","0.272014"
"CEP135","-0.367262"
"CEP192","-0.223674"
"CEP63","0.432677"
"CEPT1","0.470853"
"CES2","-0.261599"
"CETN2","-0.638149"
"CFL1","-0.290035"
"CHCHD4","-0.257182"
"CHCHD7","-0.280842"
"CHD1","0.317169"
"CHD2","-0.187276"
"CHD7","-0.555712"
"CHI3L1","-1.7548"
"CHKA","-0.334766"
"CHN2","-0.639366"
"CIB2","0.125938"
"CIITA","-0.289486"
"CIR1","0.449929"
"CISD1","0.535231"
"CKAP5","-0.269594"
"CKLF","-0.228438"
"CKM","0.151927"
"CKS1B","-0.493501"
"CLCN4","0.236015"
"CLEC10A","-0.453564"
"CLEC1A","0.47835"
"CLEC4A","-0.461742"
"CLEC4E","-0.26759"
"CLEC9A","0.442197"
"CLIC1","0.318005"
"CLIC2","0.482432"
"CLIC4","-0.259014"
"CLINT1","-0.249397"
"CLK1","-0.363364"
"CLN3","0.609585"
"CLOCK","0.2818"
"CLTA","0.366076"
"CLYBL","-0.525055"
"CMPK2","0.621995"
"CMTM4","-0.162394"
"CMTM6","-0.26059"
"CNBP","0.501499"
"CNNM3","-0.32874"
"CNOT10","-0.198955"
"CNOT3","0.22551"
"CNOT6L","-0.296662"
"CNPY2","-0.251724"
"COASY","-0.256642"
"COL4A3BP","-0.471924"
"COMMD6","-0.294656"
"COMMD9","0.221679"
"COMTD1","-0.456082"
"COPB2","-0.207671"
"COPZ1","-0.339601"
"COQ10A","0.765291"
"COQ2","0.360285"
"COQ7","-0.192928"
"CORO1A","0.626104"
"CORO1B","-0.217434"
"CORO2A","0.330142"
"COX4I1","-0.241701"
"COX8A","-0.184275"
"CPD","-0.39092"
"CPNE3","-0.301925"
"CPNE9","0.235416"
"CPPED1","-0.28507"
"CPSF4","-0.318116"
"CPVL","-0.868173"
"CREBL2","-0.818998"
"CRELD2","0.722163"
"CRISPLD2","0.862177"
"CRTC3","-0.286638"
"CSK","-0.252407"
"CSNK1D","0.412922"
"CSNK1E","0.291399"
"CST3","0.293828"
"CST7","0.395006"
"CSTB","0.269178"
"CSTF3","-0.481145"
"CTBS","-0.28636"
"CTDSP2","-0.17733"
"CTLA4","0.3626"
"CTNNBL1","0.361325"
"CTNND1","0.209029"
"CTSD","0.896165"
"CTSF","-0.138472"
"CTSS","-0.665674"
"CUEDC1","0.588175"
"CUL1","0.374153"
"CUL2","-0.258774"
"CUL4A","0.233553"
"CXCL13","0.138498"
"CXCL9","-0.499405"
"CXCR4","1.3006"
"CYB561D1","-0.485491"
"CYBB","-0.642457"
"CYCS","-0.190405"
"CYP1B1","-0.873841"
"CYP27A1","-1.3722"
"CYP27B1","-0.622553"
"CYP2B6","-0.192085"
"CYP2R1","-0.227824"
"CYP4V2","-1.15441"
"CYP51A1","-0.339296"
"CYTIP","0.37004"
"DAG1","-0.365879"
"DAGLB","0.367277"
"DAP3","0.384227"
"DAPK1","-0.853396"
"DARS","0.584701"
"DARS2","-0.227981"
"DBNDD2","-0.363865"
"DCAF6","-0.357073"
"DCAKD","-0.43929"
"DCP1A","0.416159"
"DCP2","-0.523683"
"DCPS","0.232163"
"DCUN1D3","0.239172"
"DDB2","0.411169"
"DDIT3","0.487232"
"DDIT4","0.983895"
"DDT","-0.311117"
"DDX17","-0.309012"
"DDX19B","0.230674"
"DDX3X","-0.397191"
"DDX46","-0.343354"
"DDX50","0.245723"
"DDX58","0.448199"
"DEFB1","1.08466"
"DEK","-0.328972"
"DENND1A","0.373957"
"DENND2D","0.517656"
"DENND3","0.318739"
"DENND4C","-0.322889"
"DERA","-0.163328"
"DERL1","-0.281182"
"DEXI","0.345857"
"DFFA","0.201455"
"DHCR24","-0.871012"
"DHDDS","0.374723"
"DHRS4","-0.440132"
"DHX30","-0.319049"
"DHX32","-0.382253"
"DHX40","-0.652012"
"DHX58","0.277451"
"DIAPH2","-0.345763"
"DICER1","-0.821649"
"DKC1","-0.201804"
"DLEU7","0.321606"
"DMAP1","0.286932"
"DMXL2","-0.314179"
"DNAJB1","-0.389461"
"DNAJB6","-0.380475"
"DNAJC10","-0.618345"
"DNAJC13","-0.807368"
"DNAJC25","-0.447211"
"DNAJC25-GNG10","-0.681382"
"DNASE2","0.999585"
"DOCK11","-0.612671"
"DOCK2","-0.215216"
"DOK2","0.390609"
"DOPEY1","0.237431"
"DPAGT1","-0.280585"
"DPH5","-0.197154"
"DPM3","-0.494714"
"DPP7","-0.288757"
"DPP9","-0.602827"
"DPY19L1","-0.321841"
"DPY30","-0.228424"
"DPYD","-0.63746"
"DRAM1","-0.454193"
"DTX3L","0.35305"
"DUS3L","-0.242357"
"DUSP1","0.327316"
"DUSP10","0.725936"
"DUSP18","0.272672"
"DUSP28","-0.743176"
"DUT","-0.363646"
"DYNC1H1","-0.285544"
"DYNLT3","0.332223"
"DYRK2","-0.32417"
"E2F2","0.882427"
"EBI3","-0.834851"
"ECHDC1","-0.58143"
"ECM1","-0.299302"
"ECSIT","-0.226976"
"ECT2","-0.332794"
"EDEM1","-0.586151"
"EDN1","1.3945"
"EEF2K","-0.355554"
"EFHD2","-0.244405"
"EFNA4","0.440542"
"EGLN1","0.198034"
"EGLN3","0.513553"
"EGR1","-0.584208"
"EGR2","-0.708942"
"EHD1","-0.574108"
"EI24","0.360511"
"EID2","0.414375"
"EIF2AK2","0.866639"
"EIF2B4","0.335911"
"EIF4A3","0.237906"
"EIF4B","-0.347635"
"EIF4E2","0.266875"
"EIF4EBP3","-0.491327"
"EIF5","0.373013"
"ELAVL2","-0.108943"
"ELMO1","0.528178"
"ELMO2","0.228972"
"ELOF1","0.296868"
"ELOVL5","-0.596956"
"ENDOD1","0.272836"
"ENG","-0.289532"
"ENO1","0.403558"
"ENO2","0.438015"
"ENOSF1","-0.533737"
"ENPP4","0.820067"
"EPAS1","-0.226911"
"EPB41L2","-0.210465"
"EPDR1","0.498073"
"EPHB1","0.201361"
"EPHB2","-0.511614"
"EPHX1","-0.64632"
"EPSTI1","0.368735"
"ERAL1","0.216958"
"ERGIC2","-0.232113"
"ERGIC3","-0.604812"
"ERLIN1","0.224487"
"ESPNL","0.123818"
"ESYT1","0.252017"
"ETFA","-0.353776"
"ETFB","-0.233723"
"ETFDH","-0.228464"
"ETHE1","-0.318965"
"ETS2","-0.298754"
"ETV2","0.812681"
"ETV6","-0.318217"
"EVI2A","0.290399"
"EVI5L","0.413241"
"EWSR1","0.247537"
"EXOC4","-0.285046"
"EXOC7","-0.221536"
"EXOSC1","0.218992"
"EXOSC6","0.536071"
"EXT1","0.309006"
"EZR","0.302468"
"F11R","0.780277"
"F3","-0.640159"
"FABP3","-0.188354"
"FABP4","-0.47844"
"FADD","0.345331"
"FADS1","-0.830978"
"FAH","0.581574"
"FAM103A1","0.282588"
"FAM104A","0.373201"
"FAM117B","-0.775823"
"FAM118A","0.660203"
"FAM120A","-0.250452"
"FAM120AOS","0.258602"
"FAM122B","-0.254145"
"FAM129A","-0.377394"
"FAM131A","-0.255779"
"FAM134A","0.238336"
"FAM135A","0.258128"
"FAM13A","0.311625"
"FAM160B2","-0.240438"
"FAM168B","-0.756072"
"FAM172A","-0.220038"
"FAM173A","-0.334983"
"FAM173B","-0.300568"
"FAM175A","0.278882"
"FAM177A1","-0.214815"
"FAM193B","-0.273462"
"FAM20A","-0.445256"
"FAM20B","-0.20067"
"FAM20C","-0.692131"
"FAM43A","0.183153"
"FAM46C","0.300095"
"FAM58A","-0.339759"
"FAM60A","-0.255101"
"FAM65B","0.536903"
"FAM69A","0.491216"
"FAM8A1","0.306686"
"FANCE","-0.416436"
"FAR1","-0.511026"
"FAR2","-0.415719"
"FASN","-0.345656"
"FASTK","-0.571175"
"FBP1","-0.926231"
"FBXL18","-0.25205"
"FBXO22","0.275583"
"FBXO4","-0.389948"
"FBXO5","-0.254368"
"FBXO7","0.205047"
"FBXW11","-0.319015"
"FCGR2A","-0.390489"
"FCGRT","-0.581226"
"FCHSD2","-0.335655"
"FCN1","0.564816"
"FDFT1","-0.403135"
"FDPS","-0.510276"
"FERMT2","-0.259993"
"FFAR2","0.617163"
"FGL2","-0.207974"
"FGR","-0.2581"
"FIG4","-0.771484"
"FIS1","-0.38354"
"FKBP11","0.335656"
"FKBP15","0.263557"
"FKBP2","-0.252483"
"FLT3LG","0.255462"
"FLVCR1","-0.333001"
"FLYWCH2","0.254417"
"FNBP1","-0.288261"
"FNIP2","0.300078"
"FOLR2","-0.664428"
"FOXJ2","-0.340953"
"FOXK1","-0.503372"
"FOXN2","0.435284"
"FPR3","0.683082"
"FRAT1","-0.460369"
"FRMD4B","-0.623402"
"FSD1L","0.179892"
"FTH1","-0.579767"
"FUK","-0.449224"
"FURIN","-0.286252"
"FUS","0.300907"
"FUT4","0.237825"
"FXYD6","1.1446"
"G6PD","-0.337159"
"GAA","-0.821811"
"GABARAPL2","-0.443592"
"GABRR2","-0.0978564"
"GADD45A","0.406102"
"GALC","-0.388718"
"GALE","0.383293"
"GALM","0.759058"
"GALNT1","-0.223121"
"GALNT10","0.225489"
"GALNT11","-0.588279"
"GAPDH","0.498828"
"GAPVD1","-0.274487"
"GAR1","0.206445"
"GARS","0.23732"
"GART","0.461386"
"GAS2L1","-0.199409"
"GATM","0.756457"
"GBAS","-0.312431"
"GBE1","0.616516"
"GBP6","0.215313"
"GCA","-0.270177"
"GCLM","0.37124"
"GCNT1","0.749149"
"GCNT2","0.309815"
"GDE1","-0.317691"
"GDF15","0.48504"
"GDPD5","0.42303"
"GEMIN5","0.196325"
"GFM1","-0.36152"
"GGCT","-0.468921"
"GGH","-0.368971"
"GIMAP2","-0.228106"
"GINS3","-0.226353"
"GIT2","0.241574"
"GJC1","0.291474"
"GK","-0.861734"
"GLA","-0.384591"
"GLIPR1","-0.453149"
"GLT1D1","0.424268"
"GLTP","-0.320872"
"GM2A","-0.502179"
"GMCL1","-0.266296"
"GMDS","0.296029"
"GMFG","-0.31621"
"GMPR","0.527294"
"GNA11","-0.418254"
"GNA12","-0.260257"
"GNA15","-0.483868"
"GNAI3","0.418105"
"GNAS","-0.30924"
"GNB2","0.293816"
"GNB4","-0.601516"
"GNG10","-0.906192"
"GNG7","-0.201432"
"GNGT2","0.402169"
"GNLY","0.652992"
"GNPDA1","0.640923"
"GNS","-0.321416"
"GOLGA3","-0.323939"
"GOLM1","0.371183"
"GORASP2","-0.285813"
"GPAA1","-0.478996"
"GPATCH3","0.386072"
"GPBAR1","1.15913"
"GPC4","-0.683873"
"GPHN","-0.159079"
"GPI","0.520264"
"GPN2","0.290199"
"GPR137","-0.765818"
"GPR137B","-0.404283"
"GPR18","0.47846"
"GPR35","0.537022"
"GPR65","0.309347"
"GPR68","-0.714671"
"GPR84","-0.664516"
"GPT2","0.350552"
"GPX4","-0.244977"
"GPX7","0.28956"
"GRAMD1A","-0.539183"
"GRAMD4","0.460783"
"GRIN3A","0.629521"
"GRPEL1","0.263114"
"GSK3B","-0.343706"
"GSN","-0.603018"
"GSR","-0.42326"
"GSTO1","0.275319"
"GSTZ1","-0.592599"
"GTF2F1","0.209617"
"GTF2F2","-0.504381"
"GTF3A","-0.242769"
"GTF3C6","0.589705"
"GTPBP8","0.271734"
"GTSF1","0.597762"
"GUK1","0.23922"
"GUSB","-0.474592"
"GXYLT1","-0.372863"
"GZMH","0.43648"
"H1F0","0.999717"
"H1FX","0.595894"
"H2AFJ","0.354004"
"H2AFX","0.269302"
"H2AFY2","0.665575"
"H3F3A","-0.335438"
"H6PD","-0.491559"
"HACL1","-0.257872"
"HADHB","-0.272161"
"HAMP","0.667917"
"HAPLN3","-0.457648"
"HARS","0.256203"
"HAT1","-0.67102"
"HAVCR2","0.45095"
"HCFC1R1","0.286635"
"HCK","-0.355518"
"HDGF","-0.353546"
"HEATR6","-0.264783"
"HEBP2","0.723986"
"HECTD1","-0.303742"
"HERC1","-0.868694"
"HERC2","-0.281738"
"HERC4","-0.284896"
"HERC5","0.586068"
"HERC6","0.915734"
"HESX1","1.04952"
"HIGD2A","-0.324666"
"HINT1","0.279316"
"HIP1","0.280644"
"HIPK2","-0.41168"
"HIST1H2AC","0.590825"
"HIST1H2BD","1.08179"
"HIST1H3A","0.14986"
"HIST1H3H","0.104808"
"HIST1H4A","0.149538"
"HIST1H4C","0.84532"
"HIST1H4H","0.340232"
"HIST2H2AA3","0.554252"
"HIST2H2AA4","0.480072"
"HIST2H2BE","0.445533"
"HIVEP3","0.344748"
"HK2","0.516629"
"HLA-DMA","-0.269615"
"HLX","-0.558633"
"HMG20B","-0.522093"
"HMGB1","-0.474526"
"HMGCR","-0.353069"
"HMGN2","0.322093"
"HMOX1","0.994527"
"HNRNPAB","-0.192878"
"HNRNPH2","-0.214683"
"HOMER3","0.276501"
"HOXD12","0.143412"
"HPCAL1","0.382182"
"HPD","0.194771"
"HPS5","0.410392"
"HPSE","0.489441"
"HS1BP3","0.274424"
"HS3ST1","0.248512"
"HSBP1","-0.381409"
"HSCB","-0.314933"
"HSD11B1","-2.49423"
"HSD17B12","-0.606879"
"HSD17B8","-0.443976"
"HSH2D","0.814742"
"HSP90B1","0.415464"
"HSPA1A","-0.5728"
"HSPA1L","-0.362824"
"HSPA6","0.571612"
"HSPBAP1","-0.544143"
"HSPD1","0.178342"
"HTATIP2","-0.348833"
"HTRA4","-0.461953"
"IARS2","-0.315177"
"IBTK","-0.659203"
"ICA1","-0.420107"
"ICAM2","1.07498"
"ICAM3","0.712995"
"ICMT","-0.285866"
"ID2","1.16099"
"ID3","0.754402"
"IDI1","-0.630933"
"IER3IP1","-0.417088"
"IER5","0.657793"
"IFFO1","-0.295315"
"IFI27","1.69286"
"IFI27L2","-0.281396"
"IFI35","0.254427"
"IFI44","0.781332"
"IFI44L","1.42477"
"IFIH1","0.422793"
"IFIT1","1.76822"
"IFIT2","0.952936"
"IFIT3","0.964396"
"IFIT5","0.310713"
"IFITM1","2.07706"
"IFITM2","1.02366"
"IFITM3","1.39923"
"IFNAR1","-0.291171"
"IFNAR2","-0.265012"
"IFT172","-0.147949"
"IFT74","-0.212425"
"IGF2BP3","0.382366"
"IK","0.249602"
"IKBKE","-0.606794"
"IL13RA1","-0.46239"
"IL1RN","1.21896"
"IL21R","-0.377371"
"IL23A","-0.168373"
"IL27","0.612341"
"IL27RA","0.704763"
"IL4I1","1.26028"
"IL4R","-0.311684"
"IL6ST","0.201789"
"IL7","-0.201872"
"IMPDH1","-0.417374"
"IMPDH2","0.537928"
"INO80C","0.332127"
"INPP1","-0.359709"
"INPP5E","0.337481"
"INPPL1","-0.310101"
"INSIG1","-0.579406"
"INTS1","-0.398166"
"INTS2","-0.247016"
"INTS3","-0.256345"
"INTS6","-0.303862"
"IP6K1","-0.396214"
"IPO11","-0.236743"
"IPO5","-0.21797"
"IQGAP2","0.400733"
"IRF2","-0.442207"
"IRF4","0.438354"
"IRF7","0.563723"
"IRF8","-0.329924"
"IRF9","0.389717"
"IRS2","-0.274729"
"ISCU","-0.278456"
"ISG15","1.93657"
"ISG20","1.41938"
"ISOC1","-0.568766"
"ISY1","0.253138"
"ITGAM","-0.536253"
"ITGAV","-0.333267"
"ITGAX","-0.920059"
"ITGB1","-0.631053"
"ITGB2","-0.287574"
"ITGB7","0.531918"
"ITPKA","-0.166722"
"ITPKB","-0.403483"
"ITPR2","-0.519588"
"JDP2","0.489335"
"JMJD8","-0.526828"
"JOSD1","0.268533"
"JUN","0.690545"
"KBTBD7","-0.281926"
"KBTBD8","0.26186"
"KCNJ10","0.488292"
"KCNK13","0.660236"
"KCNK6","-0.442182"
"KCNMB1","0.29179"
"KCTD14","1.33693"
"KCTD18","-0.42929"
"KDM1B","0.223551"
"KHNYN","-0.402033"
"KIAA1143","0.442313"
"KIDINS220","-0.254062"
"KIR2DL3","1.31507"
"KIR2DL4","1.23085"
"KIR3DL1","0.415725"
"KIR3DL2","0.52598"
"KLF10","0.764138"
"KLF4","1.2083"
"KLF9","-1.03068"
"KLHDC7B","0.356797"
"KLHDC8B","0.933333"
"KLHL2","-0.648827"
"KLHL22","0.231641"
"KLHL24","-0.297422"
"KLHL36","0.381129"
"KLHL5","-0.607605"
"KLK4","-0.127128"
"KPNA3","0.453211"
"KRCC1","-0.289663"
"KRT10","-0.355798"
"LAGE3","0.345633"
"LAMB3","-0.410742"
"LARP1","0.207499"
"LARP1B","-0.328652"
"LCP1","-0.199421"
"LCP2","0.329987"
"LDHA","0.8792"
"LDHB","0.391931"
"LDLR","-0.677054"
"LEPROTL1","0.271424"
"LETM1","-0.199591"
"LFNG","0.634085"
"LGALS1","0.574656"
"LHPP","-0.535743"
"LILRA2","1.19968"
"LILRA5","0.891013"
"LILRB3","-0.263646"
"LIMK1","-0.296067"
"LIN7C","0.250804"
"LIX1L","0.219637"
"LMBRD1","-0.467363"
"LMTK2","0.286891"
"LPAR1","0.973921"
"LPAR5","0.490397"
"LPGAT1","-0.415166"
"LPL","-0.893502"
"LPP","-0.8784"
"LRIG1","-0.161113"
"LRP1","-0.545922"
"LRP3","-0.441898"
"LRRC14","-0.26236"
"LRRC3","0.333222"
"LRRC37B","0.182055"
"LRRK2","-0.640391"
"LRSAM1","0.309063"
"LSM14A","-0.325871"
"LSM4","-0.311518"
"LSP1","0.876319"
"LTBP4","-0.234451"
"LY6E","0.679728"
"LY96","-0.339724"
"LYAR","0.419108"
"LYRM2","-0.532372"
"MACF1","-0.236002"
"MAD1L1","0.587269"
"MAD2L1BP","0.321311"
"MAD2L2","-0.506369"
"MAGED1","-0.212114"
"MAGOH","0.278721"
"MAN1B1","0.210993"
"MAN2B1","-0.419342"
"MAN2C1","-0.461756"
"MANEA","-0.379633"
"MAP3K1","0.360224"
"MAP3K14","0.333085"
"MAP3K8","-0.262854"
"MAP4K1","0.575669"
"MAPK13","-0.337383"
"MAPK14","0.353369"
"MAPRE2","-0.314965"
"MARCKS","0.445869"
"MARCKSL1","0.946424"
"MARCO","0.380982"
"MAT2A","-0.483299"
"MAT2B","-0.22493"
"MBNL1","-0.401543"
"MBNL2","-0.365227"
"MBTPS1","-0.495016"
"MCFD2","0.298754"
"MCM5","-0.363333"
"MCM7","-0.377963"
"MCM8","-0.344711"
"MCRS1","-0.271479"
"MDM2","0.475947"
"MDP1","0.309563"
"MED14","-0.203786"
"MED20","0.378216"
"MED28","0.480599"
"MED6","0.406072"
"MED7","0.342514"
"MEF2D","-0.48468"
"MESDC1","0.457437"
"METAP1","-0.199401"
"METTL3","-0.260672"
"MFF","-0.269163"
"MFSD11","-0.361369"
"MFSD3","-0.573264"
"MGAT1","0.306849"
"MGST1","1.33676"
"MIA3","0.160355"
"MIF","0.768484"
"MIR155HG","0.837606"
"MIR21","0.416464"
"MIS12","-0.43539"
"MITD1","0.647219"
"MKKS","-0.310646"
"MKL1","-0.395358"
"MKL2","-0.168677"
"MKNK1","-0.289415"
"MKRN1","-0.337088"
"MLEC","-0.487641"
"MLH1","-0.198583"
"MLLT6","0.448584"
"MLX","0.306542"
"MMADHC","0.49246"
"MMGT1","-0.431188"
"MMP14","-0.332562"
"MMP7","-0.526856"
"MMP9","-1.33753"
