TF	JASPAR ID	Class	Family	Tax Group	IC	GC Content	Target gene hits	Target gene non-hits	Background gene hits	Background gene non-hits	Target TFBS hits	Target TFBS nucleotide rate	Background TFBS hits	Background TFBS nucleotide rate	Z-score	Fisher score	pval	isSig	Component
Myc	MA0147.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.157	0.686	30	39	1642	3358	81	0.00609	3653	0.00506	5.299	3.142	5.82193171624828e-08	1	34
FOXD1	MA0031.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.926	0.275	46	23	2633	2367	258	0.0155	12628	0.014	4.761	4.308	9.63180242081828e-07	1	34
NR4A2	MA0160.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	10.165	0.491	52	17	2772	2228	246	0.0148	12032	0.0133	4.679	7.528	1.44138721415012e-06	1	34
FEV	MA0156.1	Winged Helix-Turn-Helix	Ets	vertebrates	12.121	0.442	49	20	3078	1922	331	0.0199	16437	0.0182	4.656	2.694	1.61205966194783e-06	1	34
Sox2	MA0143.1	Other Alpha-Helix	High Mobility Group	vertebrates	12.951	0.361	13	56	562	4438	19	0.00214	784	0.00163	4.627	3.125	1.85500257120139e-06	1	34
NR1H2::RXRA	MA0115.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	27.878	0.445	1	68	18	4982	1	0.000128	18	4.24e-05	4.579	1.471	2.33602099235654e-06	1	34
NR3C1	MA0113.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	14.749	0.432	12	57	512	4488	15	0.00203	617	0.00154	4.554	3.03	2.6317677849495e-06	1	34
Foxa2	MA0047.2	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.268	0.315	44	25	2353	2647	174	0.0157	8571	0.0142	4.496	5.502	3.46218679910676e-06	1	34
Egr1	MA0162.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.456	0.739	27	42	1259	3741	54	0.00447	2448	0.00373	4.402	4.846	5.36287784947464e-06	1	34
Arnt	MA0004.1	Zipper-Type	Helix-Loop-Helix	vertebrates	10.992	0.642	28	41	1428	3572	64	0.00289	2793	0.00232	4.277	3.807	9.47144013981158e-06	1	34
ELF5	MA0136.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.693	0.429	51	18	3337	1663	463	0.0313	23617	0.0294	4.12	2.051	1.89436199505532e-05	1	34
Myb	MA0100.1	Helix-Turn-Helix	Myb	vertebrates	9.883	0.591	48	21	2669	2331	235	0.0141	11702	0.013	3.789	5.34	7.56274569208064e-05	1	34
TEAD1	MA0090.1	Helix-Turn-Helix	Homeo	vertebrates	15.678	0.507	24	45	1075	3925	38	0.00343	1730	0.00287	3.758	4.809	8.56384406823014e-05	1	34
Nkx3-2	MA0122.1	Helix-Turn-Helix	Homeo	vertebrates	8.542	0.463	50	19	3110	1890	362	0.0245	18459	0.023	3.648	2.992	0.000132144819163261	1	34
MAX	MA0058.1	Zipper-Type	Helix-Loop-Helix	vertebrates	12.685	0.571	31	38	1552	3448	66	0.00496	3120	0.00432	3.562	4.501	0.000184020192066212	1	34
NHLH1	MA0048.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.132	0.674	22	47	1172	3828	44	0.00397	2064	0.00343	3.358	2.655	0.000392543065722008	1	34
FOXO3	MA0157.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	11.734	0.298	49	20	2725	2275	273	0.0164	13809	0.0153	3.351	5.538	0.000402601511949813	1	34
znf143	MA0088.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.541	0.53	5	64	253	4747	7	0.00105	287	0.000794	3.293	1.296	0.000495622373059547	0	34
MEF2A	MA0052.1	Other Alpha-Helix	MADS	vertebrates	15.709	0.179	24	45	1404	3596	65	0.00489	3104	0.0043	3.275	1.984	0.000528309868122621	0	34
Sox17	MA0078.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.502	0.384	47	22	2749	2251	253	0.0171	12952	0.0161	2.846	3.974	0.00221360974397468	0	34
CTCF	MA0139.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.205	0.645	13	56	651	4349	17	0.00243	792	0.00208	2.737	2.207	0.0031001146519031	0	34
Nr2e3	MA0164.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	12.028	0.373	24	45	1273	3727	51	0.00268	2402	0.00233	2.674	2.892	0.00374762257538739	0	34
ESR2	MA0258.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.618	0.546	9	60	414	4586	11	0.00149	498	0.00124	2.531	2.138	0.00568689242974431	0	34
TLX1::NFIC	MA0119.1	Helix-Turn-Helix::Other	Homeo::Nuclear Factor I-CCAAT-binding	vertebrates	19.665	0.598	4	65	183	4817	5	0.000526	200	0.000388	2.502	1.388	0.00617469624368829	0	34
ELK1	MA0028.1	Winged Helix-Turn-Helix	Ets	vertebrates	8.812	0.568	47	22	2746	2254	215	0.0162	11093	0.0154	2.398	3.998	0.00824243262116075	0	34
SOX9	MA0077.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.079	0.358	45	24	2279	2721	161	0.0109	8230	0.0103	2.315	7.054	0.0103064660347254	0	34
NFE2L2	MA0150.1	Zipper-Type	Leucine Zipper	vertebrates	14.394	0.486	24	45	1136	3864	37	0.00306	1809	0.00275	2.104	4.139	0.017689223504868	0	34
SPIB	MA0081.1	Winged Helix-Turn-Helix	Ets	vertebrates	9.06	0.466	56	13	3537	1463	672	0.0354	35454	0.0343	2.034	3.34	0.020975797726186	0	34
YY1	MA0095.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.101	0.51	54	15	3477	1523	636	0.0287	33448	0.0278	2.024	2.619	0.0214850758734115	0	34
RREB1	MA0073.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	22.278	0.623	7	62	315	4685	8	0.0012	379	0.00105	1.692	1.923	0.045322986812447	0	34
ELK4	MA0076.1	Winged Helix-Turn-Helix	Ets	vertebrates	14.123	0.583	27	42	1228	3772	39	0.00264	1939	0.00242	1.635	5.194	0.0510245238112381	0	34
SRY	MA0084.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.193	0.238	53	16	2977	2023	381	0.0258	20200	0.0252	1.435	6.174	0.0756435487988799	0	34
Mycn	MA0104.2	Zipper-Type	Helix-Loop-Helix	vertebrates	11.104	0.699	26	43	1671	3329	73	0.00549	3766	0.00521	1.381	1.324	0.0836394803293547	0	34
CREB1	MA0018.2	Zipper-Type	Leucine Zipper	vertebrates	10.139	0.523	30	39	1800	3200	75	0.00451	3849	0.00426	1.376	2.087	0.0844108166337905	0	34
NFATC2	MA0152.1	Ig-fold	Rel	vertebrates	9.859	0.346	51	18	3085	1915	371	0.0195	19629	0.019	1.35	3.749	0.088507991437402	0	34
HNF4A	MA0114.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	9.617	0.522	22	47	1264	3736	43	0.0042	2211	0.00398	1.281	2.012	0.100096833047777	0	34
NR2F1	MA0017.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	15.924	0.478	12	57	795	4205	21	0.00221	1065	0.00206	1.151	0.871	0.124866117770699	0	34
MYC::MAX	MA0059.1	Zipper-Type	Helix-Loop-Helix	vertebrates	14.237	0.602	14	55	690	4310	18	0.00149	904	0.00138	1.069	2.416	0.142534834703706	0	34
EWSR1-FLI1	MA0149.1	Winged Helix-Turn-Helix	Ets	vertebrates	32.871	0.554	1	68	39	4961	1	0.000135	41	0.000102	1.062	0.86	0.144117842596827	0	34
Stat3	MA0144.1	Ig-fold	Stat	vertebrates	13.601	0.505	36	33	1997	3003	92	0.00692	4841	0.0067	0.954	3.597	0.170041821190259	0	34
T	MA0009.1	Beta-Hairpin-Ribbon	T	vertebrates	17.863	0.452	7	62	388	4612	9	0.000744	459	0.000699	0.577	1.238	0.281969727761041	0	34
FOXI1	MA0042.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.183	0.263	35	34	2348	2652	183	0.0165	9822	0.0163	0.561	1.178	0.287398768592212	0	34
REST	MA0138.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	23.134	0.596	1	68	44	4956	1	0.000158	48	0.00014	0.452	0.773	0.325634491220321	0	34
HOXA5	MA0158.1	Helix-Turn-Helix	Homeo	vertebrates	8.759	0.315	52	17	3606	1394	756	0.0455	40943	0.0453	0.24	1.115	0.405165128302204	0	34
RXRA::VDR	MA0074.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.451	0.527	2	67	99	4901	2	0.000226	103	0.000214	0.199	0.912	0.421131372296565	0	34
Foxq1	MA0040.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.07	0.202	28	41	1601	3399	80	0.00662	4315	0.00657	0.196	2.463	0.422305082998372	0	34
NFYA	MA0060.1	Other Alpha-Helix	NFY CCAAT-binding	vertebrates	12.925	0.523	21	48	1162	3838	35	0.00421	1916	0.00424	-0.203	2.245	0.419567516105916	0	34
Nkx2-5	MA0063.1	Helix-Turn-Helix	Homeo	vertebrates	8.27	0.218	54	15	3440	1560	721	0.0379	39357	0.0381	-0.355	2.871	0.361294795616313	0	34
HNF1A	MA0046.1	Helix-Turn-Helix	Homeo	vertebrates	15.548	0.259	10	59	587	4413	15	0.00158	834	0.00162	-0.371	1.234	0.355318765855119	0	34
Gfi	MA0038.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	9.47	0.391	46	23	2737	2263	238	0.0179	13121	0.0182	-0.734	3.484	0.231474369041738	0	34
Nobox	MA0125.1	Helix-Turn-Helix	Homeo	vertebrates	9.573	0.26	42	27	2723	2277	280	0.0168	15445	0.0171	-0.739	1.75	0.229953498679683	0	34
IRF1	MA0050.1	Winged Helix-Turn-Helix	IRF	vertebrates	16.008	0.383	21	48	1214	3786	40	0.00361	2271	0.00377	-0.991	1.904	0.160842790133938	0	34
SRF	MA0083.1	Other Alpha-Helix	MADS	vertebrates	17.965	0.466	3	66	173	4827	3	0.000271	193	0.000321	-1.092	0.84	0.137416550589812	0	34
Pou5f1	MA0142.1	Helix-Turn-Helix	Homeo	vertebrates	14.808	0.308	13	56	696	4304	18	0.00203	1049	0.00218	-1.185	1.839	0.118008723453763	0	34
Pdx1	MA0132.1	Helix-Turn-Helix	Homeo	vertebrates	9.04	0.194	50	19	3131	1869	500	0.0226	27815	0.0231	-1.324	2.85	0.0927515223567528	0	34
TP53	MA0106.1	Zinc-coordinating	Loop-Sheet-Helix	vertebrates	26.239	0.603	0	69	1	4999	0	0	1	2.77e-06	-1.431	0	0.0762151075669532	0	34
AP1	MA0099.2	Zipper-Type	Leucine Zipper	vertebrates	9.193	0.405	54	15	3310	1690	401	0.0211	22428	0.0217	-1.569	3.853	0.0583239695080263	0	34
CEBPA	MA0102.2	Zipper-Type	Leucine Zipper	vertebrates	8.712	0.358	41	28	2604	2396	197	0.0133	11135	0.0139	-1.693	1.984	0.0452277336039481	0	34
RORA_1	MA0071.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.19	0.424	29	40	1712	3288	65	0.00489	3794	0.00525	-1.855	2.197	0.0317981132886053	0	34
HNF1B	MA0153.1	Helix-Turn-Helix	Homeo	vertebrates	16.821	0.222	12	57	810	4190	22	0.00198	1340	0.00223	-1.891	0.809	0.0293121721142873	0	34
Gata1	MA0035.2	Zinc-coordinating	GATA	vertebrates	10.878	0.373	44	25	2871	2129	268	0.0222	15081	0.023	-1.944	1.745	0.0259477255497596	0	34
Sox5	MA0087.1	Other Alpha-Helix	High Mobility Group	vertebrates	10.831	0.199	47	22	2631	2369	250	0.0132	14243	0.0138	-2.016	4.986	0.0218999878950951	0	34
Foxd3	MA0041.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	12.945	0.223	37	32	2302	2698	171	0.0154	9727	0.0162	-2.112	2.051	0.0173432246482393	0	34
RORA_2	MA0072.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	17.425	0.369	13	56	716	4284	16	0.00168	1000	0.00194	-2.133	1.692	0.0164623631000745	0	34
RXR::RAR_DR5	MA0159.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	16.004	0.535	4	65	254	4746	4	0.000511	290	0.000682	-2.441	0.756	0.00732332738342714	0	34
PPARG	MA0066.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.365	0.523	0	69	13	4987	0	0	14	3.88e-05	-2.491	0	0.00636920599048035	0	34
HLF	MA0043.1	Zipper-Type	Leucine Zipper	vertebrates	11.147	0.394	19	50	1097	3903	31	0.0028	1923	0.00319	-2.589	1.796	0.00481275472327793	0	34
Ddit3::Cebpa	MA0019.1	Zipper-Type	Leucine Zipper	vertebrates	11.652	0.483	18	51	1118	3882	32	0.00289	1983	0.00329	-2.61	1.304	0.00452711113296733	0	34
NKX3-1	MA0124.1	Helix-Turn-Helix	Homeo	vertebrates	11.127	0.179	33	36	2549	2451	235	0.0124	13610	0.0132	-2.625	0.302	0.00433244836301256	0	34
PBX1	MA0070.1	Helix-Turn-Helix	Homeo	vertebrates	14.641	0.31	11	58	818	4182	20	0.0018	1288	0.00214	-2.671	0.531	0.00378128234057695	0	34
MIZF	MA0131.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	13.197	0.61	6	63	406	4594	6	0.000451	486	0.000673	-3.169	0.704	0.000764821975705276	0	34
Prrx2	MA0075.1	Helix-Turn-Helix	Homeo	vertebrates	9.063	0.027	46	23	3036	1964	420	0.0158	24447	0.0169	-3.201	1.662	0.000684757660586311	0	34
ARID3A	MA0151.1	Helix-Turn-Helix	Arid	vertebrates	9.896	0.062	53	16	3254	1746	567	0.0256	32643	0.0271	-3.441	3.661	0.000289784266449665	1	34
Pax6	MA0069.1	Helix-Turn-Helix	Homeo	vertebrates	13.798	0.432	3	66	248	4752	3	0.000316	276	0.000535	-3.514	0.397	0.000220706406430787	1	34
Lhx3	MA0135.1	Helix-Turn-Helix	Homeo	vertebrates	16.354	0.131	16	53	1203	3797	39	0.00381	2522	0.00454	-3.958	0.489	3.77899788873791e-05	1	34
STAT1	MA0137.2	Ig-fold	Stat	vertebrates	13.119	0.452	17	52	1328	3672	34	0.00383	2250	0.00467	-4.494	0.379	3.49488139843661e-06	1	34
Evi1	MA0029.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.909	0.28	5	64	409	4591	5	0.000526	498	0.000965	-5.196	0.393	1.0181112883984e-07	1	34
TBP	MA0108.2	Beta-sheet	TATA-binding	vertebrates	10.086	0.377	32	37	2092	2908	109	0.0123	6744	0.014	-5.312	1.342	5.42143017943094e-08	1	34
ESR1	MA0112.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.563	0.594	0	69	76	4924	0	0	78	0.000216	-5.453	0	2.47635346063719e-08	1	34
FOXF2	MA0030.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.824	0.334	16	53	855	4145	17	0.00179	1348	0.00261	-5.904	2.098	1.77396080187713e-09	1	34
NFIL3	MA0025.1	Zipper-Type	Leucine Zipper	vertebrates	14.139	0.265	18	51	1341	3659	42	0.00347	3042	0.00463	-6.238	0.511	2.21600328697985e-10	1	34
Tal1::Gata1	MA0140.1	Zipper-Type	Helix-Loop-Helix	vertebrates	11.297	0.451	19	50	1282	3718	33	0.00447	2322	0.00578	-6.359	0.904	1.01535703719553e-10	1	34
IRF2	MA0051.1	Winged Helix-Turn-Helix	IRF	vertebrates	21.134	0.412	0	69	164	4836	0	0	185	0.000461	-7.895	0	1.45157618977495e-15	1	34
PPARG	MA0066.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.365	0.523	1	43	14	4986	1	0.00027	14	3.86e-05	9.851	2.093	3.3932671687189e-23	1	50
RXRA::VDR	MA0074.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	20.451	0.527	2	42	97	4903	3	0.000609	100	0.000207	7.468	1.544	4.07114219739903e-14	1	50
NFYA	MA0060.1	Other Alpha-Helix	NFY CCAAT-binding	vertebrates	12.925	0.523	12	32	1169	3831	25	0.00541	1887	0.00416	5.234	1.123	8.29402258464844e-08	1	50
T	MA0009.1	Beta-Hairpin-Ribbon	T	vertebrates	17.863	0.452	4	40	346	4654	7	0.00104	393	0.000596	4.885	1.008	5.17144269090901e-07	1	50
Foxq1	MA0040.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	14.07	0.202	16	28	1614	3386	54	0.00803	4360	0.00661	4.74	1.098	1.06859109454593e-06	1	50
SP1	MA0079.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	11.129	0.82	26	18	2543	2457	188	0.0254	16569	0.0228	4.677	1.744	1.45551128770619e-06	1	50
Klf4	MA0039.2	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	12.618	0.771	28	16	2770	2230	205	0.0277	18252	0.0252	4.424	1.753	4.84450098694457e-06	1	50
Nkx2-5	MA0063.1	Helix-Turn-Helix	Homeo	vertebrates	8.27	0.218	29	15	3422	1578	430	0.0407	39330	0.038	3.892	0.351	4.97106225008073e-05	1	50
EWSR1-FLI1	MA0149.1	Winged Helix-Turn-Helix	Ets	vertebrates	32.871	0.554	1	43	39	4961	1	0.000243	39	9.68e-05	3.866	1.215	5.53174686948564e-05	1	50
Sox2	MA0143.1	Other Alpha-Helix	High Mobility Group	vertebrates	12.951	0.361	5	39	589	4411	11	0.00223	799	0.00165	3.829	0.504	6.43325034724397e-05	1	50
NFIL3	MA0025.1	Zipper-Type	Leucine Zipper	vertebrates	14.139	0.265	11	33	1374	3626	38	0.00565	3118	0.00473	3.633	0.36	0.000140072509144845	1	50
Zfp423	MA0116.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.925	0.679	12	32	1175	3825	25	0.00507	2043	0.00423	3.516	1.102	0.00021905049210519	1	50
HNF1B	MA0153.1	Helix-Turn-Helix	Homeo	vertebrates	16.821	0.222	7	37	856	4144	18	0.00292	1397	0.00231	3.413	0.436	0.000321259710829647	1	50
PPARG::RXRA	MA0065.2	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	11.663	0.547	16	28	1253	3747	27	0.00548	2237	0.00463	3.379	2.735	0.00036375004075438	1	50
ESR2	MA0258.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	13.618	0.546	6	38	440	4560	7	0.0017	511	0.00127	3.277	1.665	0.00052458184705361	0	50
RXR::RAR_DR5	MA0159.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	16.004	0.535	4	40	241	4759	4	0.00092	272	0.000638	2.965	1.811	0.00151341464780303	0	50
NKX3-1	MA0124.1	Helix-Turn-Helix	Homeo	vertebrates	11.127	0.179	23	21	2599	2401	150	0.0142	13549	0.0131	2.668	0.606	0.00381521290476912	0	50
PLAG1	MA0163.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	19.352	0.798	5	39	408	4592	7	0.00133	523	0.00101	2.645	1.237	0.00408454585179008	0	50
Egr1	MA0162.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.456	0.739	12	32	1327	3673	30	0.00446	2547	0.00386	2.598	0.666	0.0046884246980319	0	50
FOXI1	MA0042.1	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.183	0.263	27	17	2396	2604	108	0.0175	9881	0.0163	2.507	2.96	0.00608803558428162	0	50
NFKB1	MA0105.1	Ig-fold	Rel	vertebrates	15.627	0.758	6	38	819	4181	16	0.00238	1309	0.00199	2.369	0.29	0.00891812672892356	0	50
INSM1	MA0155.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	14.862	0.667	13	31	1522	3478	40	0.00649	3558	0.00589	2.122	0.498	0.0169188690216316	0	50
CTCF	MA0139.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	17.205	0.645	9	35	678	4322	10	0.00257	842	0.00221	2.067	1.999	0.0193670769787524	0	50
CEBPA	MA0102.2	Zipper-Type	Leucine Zipper	vertebrates	8.712	0.358	24	20	2644	2356	120	0.0146	11074	0.0137	1.998	0.747	0.0228583300611074	0	50
HLF	MA0043.1	Zipper-Type	Leucine Zipper	vertebrates	11.147	0.394	12	32	1137	3863	23	0.00373	2019	0.00334	1.814	1.241	0.0348388628826756	0	50
Foxa2	MA0047.2	Winged Helix-Turn-Helix	Forkhead	vertebrates	13.268	0.315	24	20	2351	2649	92	0.0149	8587	0.0142	1.641	1.613	0.0503987075975955	0	50
SOX9	MA0077.1	Other Alpha-Helix	High Mobility Group	vertebrates	9.079	0.358	22	22	2283	2717	87	0.0106	8128	0.0101	1.347	1.094	0.0889901163408982	0	50
HNF4A	MA0114.1	Zinc-coordinating	Hormone-nuclear Receptor	vertebrates	9.617	0.522	16	28	1294	3706	25	0.00439	2277	0.00408	1.308	2.489	0.0954366546428675	0	50
TEAD1	MA0090.1	Helix-Turn-Helix	Homeo	vertebrates	15.678	0.507	10	34	1058	3942	18	0.00292	1631	0.0027	1.129	0.779	0.129448916838797	0	50
MZF1_1-4	MA0056.1	Zinc-coordinating	BetaBetaAlpha-zinc finger	vertebrates	8.586	0.725	30	14	3426	1574	424	0.0344	40706	0.0337	1.083	0.526	0.139404211520308	0	50
