Category	Disease	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_FDR
comp363	Crohns	0.004377891	0.024728755	0.006945901	5.648554196	1.586586111	0.002921392
comp371	Crohns	0.005128912	0.029593255	0.010946064	5.769889424	2.134188318	0.02290278
comp419	Crohns	0.006830225	0.030457799	0.01154632	4.459267095	1.690474254	0.045533454
comp201	Celiac	0.005728919	0.043627471	0.014706889	7.615305899	2.567131554	0.010679538
comp319	Celiac	0.004809336	0.035347276	0.009732319	7.349720828	2.023630668	0.001692522
comp353	Celiac	0.005147135	0.024784648	0.009070646	4.815231851	1.762270901	0.024026746
comp421	Celiac	0.006133367	-0.010006999	0.006795367	-1.631566953	1.107934134	0.012080781
comp84	Celiac	0.00078308	-0.002527488	0.001633387	-3.227624478	2.085849299	0.040382824
comp93	Celiac	0.005084367	0.029462739	0.008641175	5.794770113	1.699557634	0.002643311
comp201	UC	0.005728919	0.022776612	0.008370277	3.975725989	1.461056982	0.035858184
comp222	UC	0.003904938	0.014545934	0.004952662	3.725009808	1.268307238	0.026018633
comp419	UC	0.006830225	0.023437502	0.005853181	3.431439037	0.856952815	0.003019989
comp105	HDL	0.001609018	-0.00191891	0.00126167	-1.192597549	0.7841244	0.005681198
comp281	HDL	0.006864309	0.016799988	0.005086093	2.447440529	0.740947595	0.044036852
comp61	LDL	0.00593089	0.042253415	0.018056587	7.124296027	3.044498766	0.043786557
comp180	BMI	0.003884859	0.008993154	0.002379971	2.314923852	0.612627195	0.03211651
comp477	BMI	0.006365372	0.002105287	0.002140462	0.33074054	0.336266586	0.046077192
comp201	CAD	0.005728919	0.024447813	0.008559751	4.267439085	1.49413014	0.026494175
comp319	CAD	0.004809336	0.014860189	0.00500587	3.089862976	1.040865182	0.044499502
comp419	CAD	0.006830225	-0.007021166	0.006843383	-1.027955282	1.00192632	0.045104628
comp439	CAD	0.003574563	0.015110358	0.005630098	4.227189853	1.575045083	0.040851326
comp61	CAD	0.00593089	0.022278223	0.007695622	3.756303689	1.297549244	0.033960553
comp73	CAD	0.002561166	0.009996048	0.003463923	3.90292878	1.352479089	0.030805068
comp201	Height	0.005728919	0.011666359	0.002784452	2.036397916	0.486034516	0.034139541
comp22	Height	0.003706848	0.008116111	0.001930731	2.189491034	0.520855147	0.023188117
comp317	Height	0.007216957	0.019181922	0.004420286	2.657896276	0.612486103	0.008412191
comp363	Height	0.004377891	0.023436084	0.006446973	5.35328165	1.472620736	0.003343679
comp421	Height	0.006133367	0.01914031	0.005934007	3.120685704	0.967495918	0.029333107
comp439	Height	0.003574563	0.010210467	0.002213209	2.856423455	0.619155026	0.002487027
comp451	Height	0.006142985	0.013853112	0.00348763	2.255110998	0.56774199	0.025740511
comp477	Height	0.006365372	0.012940307	0.002919294	2.03292241	0.458621099	0.024953636
comp61	Height	0.00593089	0.014397866	0.003827041	2.427606331	0.64527266	0.028236215
